Planet Name,Host Name,Number of Stars,Number of Planets,Number of Moons,Discovery Method,Discovery Year,Discovery Telescope,Discovery Instrument,Controversial Flag,Orbital Period [days],Orbit Semi-Major Axis [au],Planet Radius [Earth Radius],Planet Radius [Jupiter Radius],Planet Mass or Mass*sin(i) [Earth Mass],Planet Mass or Mass*sin(i) [Jupiter Mass],Planet Density [g/cm**3],Eccentricity,Insolation Flux [Earth Flux],Equilibrium Temperature [K],Data show Transit Timing Variations,Impact Parameter,Transit Duration [hours],Ratio of Planet to Stellar Radius,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr],Stellar Density [g/cm**3],RA [sexagesimal],RA [deg],Dec [sexagesimal],Dec [deg],Distance [pc]
Kepler-337 b,Kepler-337,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,3.292781,0.045,1.54,0.137,2.99,0.0094,4.5,0.0,1589.01,1458.0,0,0.03,4.767,0.00898,5684.0,1.76,1.05,0.481,4.0,8.2,0.23495,19h20m14.52s,290.0605123,+47d09m50.23s,47.1639533,677.975
Kepler-337 c,Kepler-337,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,9.693201,0.093,2.05,0.183,4.86,0.0153,3.1,0.0,376.21,1017.0,0,0.0,5.509,0.01256,5684.0,1.76,1.05,0.481,4.0,8.2,0.24967,19h20m14.52s,290.0605123,+47d09m50.23s,47.1639533,677.975
Kepler-338 b,Kepler-338,1,4,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,13.726976,0.117,2.44,0.218,30.6,0.096,11.6,0.04,256.61,1005.0,1,0.14,7.288,0.01341,5923.0,1.74,1.1,0.586,4.02,4.79,0.21664,18h51m54.97s,282.9790593,+40d47m03.91s,40.7844188,552.798
Kepler-338 c,Kepler-338,1,4,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,24.310856,0.172,2.34,0.209,6.08,0.0191,2.61,0.03,119.65,831.0,0,0.03,8.82,0.01242,5923.0,1.74,1.1,0.586,4.02,4.79,0.30621,18h51m54.97s,282.9790593,+40d47m03.91s,40.7844188,552.798
Kepler-338 d,Kepler-338,1,4,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,44.431014,0.257,3.0,0.268,9.27,0.0292,1.89,0.03,53.56,680.0,0,0.79,10.624,0.01492,5923.0,1.74,1.1,0.586,4.02,4.79,0.21664,18h51m54.97s,282.9790593,+40d47m03.91s,40.7844188,552.798
Kepler-338 e,Kepler-338,1,4,0,Transit Timing Variations,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,9.341,0.089744,1.56,0.139,8.5,0.027,12.3,0.05,428.52,1143.0,1,0.69,6.18,0.00844,5999.0,1.74,1.14,0.586,4.02,4.79,0.21664,18h51m54.97s,282.9790593,+40d47m03.91s,40.7844188,552.798
Kepler-339 b,Kepler-339,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,4.977656,0.055,1.42,0.127,2.6,0.00819,4.99,0.0,159.94,1023.0,0,0.6,2.553,0.01568,5631.0,0.8,0.93,-0.313,4.59,4.37,1.79524,19h33m24.41s,293.351701,+48d26m40.53s,48.4445922,616.637
Kepler-339 c,Kepler-339,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,6.988055,0.069,1.15,0.103,7.3,0.023,26.4,0.0,101.84,914.0,0,0.46,3.15,0.01336,5631.0,0.8,0.93,-0.313,4.59,4.37,2.04813,19h33m24.41s,293.351701,+48d26m40.53s,48.4445922,616.637
Kepler-339 d,Kepler-339,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,10.558345,0.091,1.17,0.104,14.7,0.046,50.4,0.0,58.65,796.0,0,0.25,3.41,0.01317,5631.0,0.8,0.93,-0.313,4.59,4.37,2.32006,19h33m24.41s,293.351701,+48d26m40.53s,48.4445922,616.637
Kepler-340 b,Kepler-340,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,14.844387,0.134,2.53,0.226,6.94,0.0218,2.35,0.0,274.32,1092.0,0,0.31,5.626,0.01329,6620.0,1.85,1.65,0.867,4.06,1.29,0.38998,19h43m44.03s,295.933471,+40d18m01.99s,40.3005515,808.762
Kepler-340 c,Kepler-340,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,22.824669,0.178,3.37,0.301,11.3,0.0355,1.62,0.0,154.65,946.0,0,0.12,6.614,0.01641,6620.0,1.85,1.65,0.867,4.06,1.29,0.62132,19h43m44.03s,295.933471,+40d18m01.99s,40.3005515,808.762
Kepler-341 b,Kepler-341,1,4,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,5.195528,0.06,1.18,0.105,1.76,0.00553,5.89,0.0,422.1,1085.0,0,0.15,3.816,0.01044,6012.0,1.02,1.0,0.127,4.44,3.6,0.66349,19h19m26.77s,289.8615609,+43d28m21.87s,43.4727412,1047.03
Kepler-341 c,Kepler-341,1,4,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,8.01041,0.08,1.7,0.152,3.53,0.0111,3.95,0.0,237.43,940.0,0,0.21,4.216,0.01575,6012.0,1.02,1.0,0.127,4.44,3.6,0.90734,19h19m26.77s,289.8615609,+43d28m21.87s,43.4727412,1047.03
Kepler-341 d,Kepler-341,1,4,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,27.666313,0.182,1.85,0.165,4.08,0.0128,3.54,0.0,45.42,622.0,0,0.27,6.048,0.01867,6012.0,1.02,1.0,0.127,4.44,3.6,0.61984,19h19m26.77s,289.8615609,+43d28m21.87s,43.4727412,1047.03
Kepler-341 e,Kepler-341,1,4,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,42.473269,0.242,1.99,0.178,4.62,0.0145,3.22,0.0,25.67,539.0,0,0.74,7.168,0.01674,6012.0,1.02,1.0,0.127,4.44,3.6,0.80682,19h19m26.77s,289.8615609,+43d28m21.87s,43.4727412,1047.03
Kepler-342 b,Kepler-342,1,4,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,15.170318,0.128,2.25,0.201,5.69,0.0179,2.74,0.0,160.26,905.0,0,0.01,4.016,0.01412,6175.0,1.47,1.26,0.453,4.19,2.04,0.49444,19h30m42.73s,292.6780488,+46d43m36.05s,46.7266813,781.611
Kepler-342 c,Kepler-342,1,4,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,26.234138,0.185,1.96,0.175,4.5,0.0142,3.28,0.0,77.29,754.0,1,0.12,2.435,0.01238,6175.0,1.47,1.26,0.453,4.19,2.04,0.49444,19h30m42.73s,292.6780488,+46d43m36.05s,46.7266813,781.611
Kepler-342 d,Kepler-342,1,4,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,39.459357,0.242,2.49,0.222,6.76,0.0213,2.41,0.0,44.83,658.0,1,0.75,8.164,0.01695,6175.0,1.47,1.26,0.453,4.19,2.04,0.01292,19h30m42.73s,292.6780488,+46d43m36.05s,46.7266813,781.611
Kepler-342 e,Kepler-342,1,4,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,1.64422461,0.0293,0.88,0.079,0.615,0.00193,4.96,0.0,3111.32,1897.0,0,0.3188,2.7822,0.00647,6366.0,1.34,1.26,0.453,4.28,2.04,0.49444,19h30m42.73s,292.6780488,+46d43m36.05s,46.7266813,781.611
Kepler-343 b,Kepler-343,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,8.96855,0.088,2.41,0.215,6.39,0.0201,2.51,0.0,206.07,1024.0,0,0.73,4.326,0.01426,5807.0,1.43,1.08,0.216,4.18,2.9,0.29453,19h27m50.56s,291.960662,+42d25m58.64s,42.4329567,927.193
Kepler-343 c,Kepler-343,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,23.22182,0.167,2.02,0.18,4.74,0.0149,3.16,0.0,57.93,746.0,0,0.0,2.708,0.01339,5807.0,1.43,1.08,0.216,4.18,6.03,12.88107,19h27m50.56s,291.960662,+42d25m58.64s,42.4329567,927.193
Kepler-344 b,Kepler-344,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,21.963945,0.153,2.61,0.233,7.32,0.023,2.26,0.0,27.33,643.0,0,0.29,2.676,0.0246,5774.0,0.98,0.93,-0.185,4.45,6.6,6.56772,19h29m59.91s,292.4996101,+46d19m27.63s,46.3243406,1002.94
Kepler-344 c,Kepler-344,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,125.596809,0.488,2.95,0.263,9.01,0.0283,1.93,0.0,2.67,360.0,0,0.03,7.533,0.02765,5774.0,0.98,0.93,-0.185,4.45,6.6,3.18698,19h29m59.91s,292.4996101,+46d19m27.63s,46.3243406,1002.94
Kepler-345 b,Kepler-345,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,7.415563,0.066,0.74,0.066,0.5,0.00157,5.2,0.0,35.37,622.0,1,0.15,1.971,0.01142,4504.0,0.62,0.61,-0.495,4.68,2.75,1.95966,19h40m54.92s,295.2288521,+45d58m15.76s,45.9710432,260.0
Kepler-345 c,Kepler-345,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,9.387427,0.077,1.2,0.107,2.2,0.00692,4.8,0.0,25.83,575.0,1,0.2,1.555,0.01772,4504.0,0.62,0.61,-0.495,4.68,2.75,1.95966,19h40m54.92s,295.2288521,+45d58m15.76s,45.9710432,260.0
Kepler-346 b,Kepler-346,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,6.511127,0.071,2.66,0.237,7.56,0.0238,2.21,0.0,134.36,1008.0,0,0.32,1.509,0.02482,6033.0,1.02,0.95,-0.153,4.46,1.7,11.79405,19h12m02.86s,288.0119248,+46d07m03.36s,46.1176003,984.105
Kepler-346 c,Kepler-346,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,23.851549,0.168,3.07,0.274,9.64,0.0303,1.83,0.0,23.81,654.0,0,0.63,2.385,0.03023,6033.0,1.02,0.95,-0.153,4.46,1.7,4.19185,19h12m02.86s,288.0119248,+46d07m03.36s,46.1176003,984.105
Kepler-347 b,Kepler-347,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,12.79836,0.11,1.97,0.176,4.54,0.0143,3.26,0.0,180.55,908.0,0,0.71,6.244,0.01617,6088.0,1.01,1.05,0.342,4.47,0.3,0.14332,19h16m47.90s,289.1995995,+49d18m20.31s,49.3056404,1298.88
Kepler-347 c,Kepler-347,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,27.320871,0.183,1.75,0.156,3.71,0.0117,3.8,0.0,65.71,705.0,0,0.77,3.927,0.01507,6088.0,1.01,1.05,0.342,4.47,3.89,2.28765,19h16m47.90s,289.1995995,+49d18m20.31s,49.3056404,1298.88
Kepler-347 d,Kepler-347,1,3,0,Transit,2023,0.95 m Kepler Telescope,Kepler CCD Array,0,85.517344,0.3802,3.04,0.235,9.48,0.0298,1.85,0.0,12.75,482.0,0,0.944,9.331,0.01921,5592.0,1.45,1.0,0.342,4.12,0.3,0.05079,19h16m47.90s,289.1995995,+49d18m20.31s,49.3056404,1298.88
Kepler-348 b,Kepler-348,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,7.05677,0.076,1.52,0.136,2.92,0.0092,4.57,0.0,438.94,1196.0,0,0.05,1.909,0.01031,6177.0,1.36,1.27,0.433,4.24,2.29,0.85967,19h49m01.22s,297.2550814,+40d32m54.20s,40.5483883,570.783
Kepler-348 c,Kepler-348,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,17.265427,0.138,1.33,0.119,2.33,0.00733,5.44,0.0,133.26,888.0,0,0.62,5.187,0.00827,6177.0,1.36,1.27,0.433,4.24,2.29,0.85967,19h49m01.22s,297.2550814,+40d32m54.20s,40.5483883,570.783
Kepler-349 b,Kepler-349,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,5.929778,0.065,1.9,0.17,94.5,0.297,75.7,0.0,248.27,972.0,0,0.48,2.364,0.01897,5956.0,0.93,1.02,-0.007,4.52,3.09,3.48156,19h34m42.35s,293.6764689,+44d36m56.15s,44.6155972,940.724
Kepler-349 c,Kepler-349,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,12.247629,0.105,1.96,0.175,4.5,0.0142,3.28,0.0,94.49,763.0,0,0.15,3.278,0.01978,5956.0,0.93,1.02,-0.007,4.52,3.09,2.8443,19h34m42.35s,293.6764689,+44d36m56.15s,44.6155972,940.724
Kepler-350 b,Kepler-350,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,11.189562,0.104,1.85,0.165,4.08,0.0128,3.54,0.0,257.72,1037.0,0,0.38,5.12,0.01132,6186.0,1.53,1.19,0.428,4.15,4.0,0.39737,19h01m40.70s,285.4195845,+39d42m21.96s,39.7061009,956.859
Kepler-350 c,Kepler-350,1,3,0,Transit,2013,0.95 m Kepler Telescope,Kepler CCD Array,0,17.849,0.1385,3.1,0.277,6.1,0.019,1.13,0.0,138.41,888.0,1,0.853,5.8919,0.0214,6492.3,1.25,1.0,0.428,4.24,4.0,0.94911,19h01m40.70s,285.4195845,+39d42m21.96s,39.7061009,956.859
Kepler-350 d,Kepler-350,1,3,0,Transit,2013,0.95 m Kepler Telescope,Kepler CCD Array,0,26.136,0.1786,2.8,0.25,14.9,0.047,3.73,0.0,83.24,782.0,1,0.842,6.613,0.01804,6492.3,1.25,1.0,0.428,4.24,4.0,0.68957,19h01m40.70s,285.4195845,+39d42m21.96s,39.7061009,956.859
Kepler-351 b,Kepler-351,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,37.054919,0.214,3.06,0.273,4.8,0.015,0.921,0.0,11.98,498.0,0,0.86,5.122,0.0298,5643.0,0.85,0.81,-0.386,4.56,2.9,2.93353,19h05m48.67s,286.4527949,+42d39m28.04s,42.6577891,1083.91
Kepler-351 c,Kepler-351,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,57.24809,0.287,3.19,0.285,11.1,0.035,1.88,0.0,6.71,431.0,0,0.21,5.923,0.03552,5643.0,0.85,0.81,-0.386,4.56,2.9,2.34785,19h05m48.67s,286.4527949,+42d39m28.04s,42.6577891,1083.91
Kepler-351 d,Kepler-351,1,3,0,Transit,2016,0.95 m Kepler Telescope,Kepler CCD Array,0,142.544247,0.5177,2.72,0.243,7.85,0.0247,2.14,0.0,1.99,318.0,0,0.015,8.949,0.03207,5225.0,0.78,0.81,-0.386,4.58,4.9,1.94457,19h05m48.67s,286.4527949,+42d39m28.04s,42.6577891,1083.91
Kepler-352 b,Kepler-352,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,10.05537,0.085,0.86,0.077,0.566,0.00178,4.89,0.0,50.39,694.0,0,0.26,2.963,0.01083,5212.0,0.78,0.83,-0.432,4.57,3.47,3.24608,19h59m35.19s,299.8966237,+46d03m06.85s,46.0519022,252.733
Kepler-352 c,Kepler-352,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,16.332995,0.118,1.24,0.111,2.07,0.00651,5.97,0.0,26.37,591.0,0,0.12,2.122,0.01528,5212.0,0.78,0.83,-0.432,4.57,3.47,3.24608,19h59m35.19s,299.8966237,+46d03m06.85s,46.0519022,252.733
Kepler-352 d,Kepler-352,1,3,0,Transit,2021,0.95 m Kepler Telescope,Kepler CCD Array,0,6.88727999,0.0657,0.806,0.072,0.449,0.00141,4.71,0.0,90.91,788.0,0,0.208,2.425,0.00807,5208.0,0.77,0.8,-0.432,4.56,3.47,3.6804,19h59m35.19s,299.8966237,+46d03m06.85s,46.0519022,252.733
Kepler-353 b,Kepler-353,2,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,5.795278,0.051,0.89,0.079,0.64,0.00201,4.99,0.0,27.19,534.0,0,0.27,2.184,0.01791,3903.0,0.5,0.55,-1.187,4.75,3.39,3.40975,19h47m25.57s,296.8565596,+41d45m29.07s,41.7580749,384.694
Kepler-353 c,Kepler-353,2,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,8.410894,0.065,1.38,0.123,2.48,0.0078,5.19,0.0,16.56,472.0,0,0.46,2.253,0.03088,3903.0,0.5,0.55,-1.187,4.75,3.39,3.40975,19h47m25.57s,296.8565596,+41d45m29.07s,41.7580749,384.694
Kepler-354 b,Kepler-354,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,5.47666,0.054,1.84,0.164,4.04,0.0127,3.56,0.0,64.84,741.0,0,0.73,2.503,0.02603,4648.0,0.67,0.65,-0.714,4.63,13.8,0.7995,19h03m00.37s,285.7515347,+41d20m08.43s,41.3356739,554.064
Kepler-354 c,Kepler-354,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,16.934402,0.115,1.31,0.117,2.27,0.00714,5.55,0.0,14.4,508.0,0,0.63,3.456,0.01703,4648.0,0.67,0.73,-0.714,4.63,5.25,2.28605,19h03m00.37s,285.7515347,+41d20m08.43s,41.3356739,554.064
Kepler-354 d,Kepler-354,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,24.209842,0.146,1.24,0.111,2.07,0.00651,5.97,0.0,8.95,451.0,0,0.16,4.373,0.0195,4648.0,0.67,0.65,-0.714,4.63,13.8,1.91598,19h03m00.37s,285.7515347,+41d20m08.43s,41.3356739,554.064
Kepler-355 b,Kepler-355,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,11.03189,0.102,1.46,0.13,2.73,0.00859,4.82,0.0,154.8,840.0,0,0.38,4.935,0.01246,6184.0,1.07,0.99,0.195,4.44,3.72,0.69388,19h03m11.88s,285.7994917,+42d48m42.27s,42.8117427,1432.17
Kepler-355 c,Kepler-355,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,25.762294,0.179,2.71,0.242,7.8,0.0245,2.15,0.0,49.97,633.0,0,0.26,6.816,0.02279,6184.0,1.07,0.99,0.195,4.44,3.72,0.60038,19h03m11.88s,285.7994917,+42d48m42.27s,42.8117427,1432.17
Kepler-356 b,Kepler-356,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,4.612696,0.057,1.57,0.14,3.09,0.00972,4.39,0.0,844.98,1294.0,0,0.26,2.972,0.01076,6133.0,1.33,1.17,0.461,4.26,2.54,0.40888,19h29m41.06s,292.4210998,+37d40m58.05s,37.6827919,707.559
Kepler-356 c,Kepler-356,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,13.121632,0.115,1.81,0.161,3.93,0.0124,3.64,0.0,209.37,913.0,0,0.16,3.626,0.01319,6133.0,1.33,1.17,0.461,4.26,2.54,0.40888,19h29m41.06s,292.4210998,+37d40m58.05s,37.6827919,707.559
Kepler-357 b,Kepler-357,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,6.475434,0.063,1.84,0.164,4.04,0.0127,3.56,0.0,69.57,793.0,0,0.27,2.651,0.02122,5036.0,0.83,0.79,-0.556,4.5,13.8,2.0051,19h24m58.31s,291.2429746,+44d00m31.08s,44.0086337,688.573
Kepler-357 c,Kepler-357,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,16.85837,0.12,2.67,0.238,7.61,0.0239,2.2,0.0,19.4,576.0,0,0.82,2.016,0.02787,5036.0,0.83,0.79,-0.556,4.5,13.8,6.92909,19h24m58.31s,291.2429746,+44d00m31.08s,44.0086337,688.573
Kepler-357 d,Kepler-357,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,49.499875,0.246,3.43,0.306,11.6,0.0366,1.58,0.0,4.62,402.0,0,0.91,6.594,0.02758,5036.0,0.83,0.79,-0.556,4.5,13.8,2.26905,19h24m58.31s,291.2429746,+44d00m31.08s,44.0086337,688.573
Kepler-358 b,Kepler-358,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,34.060467,0.21,2.72,0.243,7.85,0.0247,2.14,0.0,21.8,554.0,0,0.38,2.461,0.02831,5908.0,0.95,0.94,-0.138,4.5,0.4,16.05623,19h32m55.26s,293.2302333,+48d16m53.00s,48.2813901,1101.1
Kepler-358 c,Kepler-358,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,83.488369,0.381,2.85,0.254,8.5,0.0267,2.02,0.0,6.6,411.0,1,0.25,6.088,0.0277,5908.0,0.95,0.94,-0.138,4.5,0.4,2.43432,19h32m55.26s,293.2302333,+48d16m53.00s,48.2813901,1101.1
Kepler-359 b,Kepler-359,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,25.563222,0.178,3.53,0.315,12.2,0.0384,1.52,0.0,47.94,671.0,0,0.21,4.284,0.0312,6248.0,1.09,1.14,-0.097,4.43,3.02,1.12875,19h33m10.47s,293.2936129,+42d11m46.86s,42.1963497,1443.21
Kepler-359 c,Kepler-359,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,57.68802,0.307,4.3,0.384,2.9,0.00912,0.1,0.0,16.19,512.0,1,0.06,4.161,0.04566,6248.0,1.09,1.14,-0.097,4.43,3.02,0.42264,19h33m10.47s,293.2936129,+42d11m46.86s,42.1963497,1443.21
Kepler-359 d,Kepler-359,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,77.095691,0.372,4.01,0.358,2.7,0.0085,0.1,0.0,11.0,464.0,0,0.92,3.476,0.26893,6248.0,1.09,1.14,-0.097,4.43,3.02,0.16559,19h33m10.47s,293.2936129,+42d11m46.86s,42.1963497,1443.21
Kepler-36 b,Kepler-36,1,2,0,Transit,2012,0.95 m Kepler Telescope,Kepler CCD Array,0,13.86825,0.1153,1.498,0.134,3.83,0.01205,6.26,0.0,247.0,978.0,1,0.82,7.2783,0.00838,5979.0,1.63,1.03,0.51,4.1,4.79,0.3508,19h25m00.04s,291.2501859,+49d13m54.51s,49.2318073,527.956
Kepler-36 c,Kepler-36,1,2,0,Transit,2012,0.95 m Kepler Telescope,Kepler CCD Array,0,16.21865,0.1283,3.679,0.328,7.13,0.02243,0.787,0.0,191.0,928.0,1,0.186,7.46,0.02062,5979.0,1.63,1.03,0.51,4.1,4.79,0.3508,19h25m00.04s,291.2501859,+49d13m54.51s,49.2318073,527.956
Kepler-360 b,Kepler-360,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,3.289672,0.044,1.65,0.147,3.36,0.0106,4.11,0.0,415.43,1116.0,0,0.07,2.312,0.0144,6053.0,1.06,0.95,-0.132,4.42,3.4,2.29385,19h05m08.33s,286.2847077,+44d46m53.69s,44.7815817,876.044
Kepler-360 c,Kepler-360,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,7.186434,0.075,2.1,0.187,5.06,0.0159,3.0,0.0,146.5,860.0,0,0.19,1.406,0.01877,6053.0,1.06,0.95,-0.132,4.42,3.4,21.41412,19h05m08.33s,286.2847077,+44d46m53.69s,44.7815817,876.044
Kepler-361 b,Kepler-361,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,8.486616,0.086,1.45,0.129,2.7,0.00849,4.87,0.0,411.9,1060.0,0,0.27,5.176,0.01004,6169.0,1.34,1.17,0.459,4.25,3.16,0.50575,19h47m12.82s,296.8034146,+46d44m27.96s,46.7411011,930.32
Kepler-361 c,Kepler-361,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,55.188023,0.3,2.52,0.225,6.9,0.0217,2.37,0.0,33.95,568.0,0,0.05,9.167,0.01897,6169.0,1.34,1.17,0.459,4.25,2.95,0.66633,19h47m12.82s,296.8034146,+46d44m27.96s,46.7411011,930.32
Kepler-362 b,Kepler-362,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,10.327186,0.087,0.88,0.079,0.615,0.00193,4.96,0.0,207.34,838.0,0,0.42,1.803,0.01065,5788.0,0.72,1.02,0.209,4.64,4.27,11.56076,19h27m05.18s,291.771603,+47d31m47.71s,47.5299192,1090.51
Kepler-362 c,Kepler-362,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,37.866281,0.207,1.45,0.129,2.7,0.00849,4.87,0.0,36.67,543.0,1,0.32,4.769,0.01806,5788.0,0.72,1.02,0.209,4.64,0.4,2.93888,19h27m05.18s,291.771603,+47d31m47.71s,47.5299192,1090.51
Kepler-363 b,Kepler-363,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,3.614568,0.048,1.16,0.103,1.65,0.00521,5.81,0.0,1000.24,1347.0,0,0.06,3.401,0.00752,5593.0,1.49,1.1,0.365,4.15,5.25,0.30006,18h52m46.10s,283.1920779,+41d18m19.50s,41.3054172,762.596
Kepler-363 c,Kepler-363,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,7.542427,0.079,1.69,0.151,66.4,0.209,75.6,0.0,376.29,1054.0,0,0.1,4.9,0.0105,5593.0,1.49,1.1,0.365,4.15,5.25,0.30006,18h52m46.10s,283.1920779,+41d18m19.50s,41.3054172,762.596
Kepler-363 d,Kepler-363,1,3,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,11.932125,0.107,2.05,0.183,4.86,0.0153,3.1,0.0,203.76,905.0,0,0.68,6.35,0.01206,5593.0,1.49,1.1,0.365,4.15,5.25,0.30006,18h52m46.10s,283.1920779,+41d18m19.50s,41.3054172,762.596
Kepler-364 b,Kepler-364,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,25.745718,0.178,1.55,0.138,3.02,0.00951,4.46,0.0,68.71,753.0,0,0.68,6.983,0.01132,6108.0,1.28,1.19,0.351,4.27,0.63,0.55965,18h46m16.80s,281.5699998,+47d23m55.04s,47.3986233,891.462
Kepler-364 c,Kepler-364,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,59.980627,0.312,2.15,0.192,5.27,0.0166,2.91,0.0,22.23,568.0,1,0.27,6.582,0.01552,6108.0,1.28,1.19,0.351,4.27,0.63,1.52257,18h46m16.80s,281.5699998,+47d23m55.04s,47.3986233,891.462
Kepler-365 b,Kepler-365,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,10.664903,0.098,2.04,0.182,4.82,0.0152,3.12,0.0,132.15,865.0,0,0.87,3.293,0.01577,6012.0,1.05,1.02,0.112,4.43,4.0,2.59019,19h42m30.38s,295.626564,+49d07m49.48s,49.130411,1038.99
Kepler-365 c,Kepler-365,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,17.784129,0.137,1.64,0.146,3.33,0.0105,4.15,0.0,66.87,729.0,0,0.22,3.862,0.01438,6012.0,1.05,1.02,0.112,4.43,4.27,2.00592,19h42m30.38s,295.626564,+49d07m49.48s,49.130411,1038.99
Kepler-366 b,Kepler-366,1,2,0,Transit,2014,0.95 m Kepler Telescope,Kepler CCD Array,0,3.281959,0.045,1.46,0.13,2.73,0.00859,4.82,0.0,1873.31,1326.0,0,0.33,2.851,0.01315,6209.0,1.05,1.06,0.573,4.45,0.3,1.0833,19h47m24.49s,296.8520316,+49d05m03.97s,49.0844359,1856.28
